,open,high,low,close,volume,fe_rsi_close,fe_rsi_open,fe_rsi_low,fe_rsi_high,fe_macd_opt_close,fe_macd_signal_opt_close,fe_macd_histogram_close,fe_bb_upper_close,fe_bb_lower_close,fe_bb_mid_close,fe_bb_upper_open,fe_bb_lower_open,fe_bb_mid_open,fe_bb_upper_low,fe_bb_lower_low,fe_bb_mid_low,fe_bb_upper_high,fe_bb_lower_high,fe_bb_mid_high,fe_obv_close,fe_adi,fe_adx,fe_aroon_up,fe_aroon_down,fe_so_k,fe_so_d,fe_ma_5_close,fe_ma_10_close,fe_ma_20_close,fe_ma_50_close,fe_ma_100_close,fe_wma_5_close,fe_wma_10_close,fe_wma_20_close,fe_wma_50_close,fe_wma_100_close,fe_ema_5_close,fe_ema_10_close,fe_ema_20_close,fe_ema_50_close,fe_ema_100_close,fe_ma_5_open,fe_ma_10_open,fe_ma_20_open,fe_ma_50_open,fe_ma_100_open,fe_wma_5_open,fe_wma_10_open,fe_wma_20_open,fe_wma_50_open,fe_wma_100_open,fe_ema_5_open,fe_ema_10_open,fe_ema_20_open,fe_ema_50_open,fe_ema_100_open,fe_ma_5_low,fe_ma_10_low,fe_ma_20_low,fe_ma_50_low,fe_ma_100_low,fe_wma_5_low,fe_wma_10_low,fe_wma_20_low,fe_wma_50_low,fe_wma_100_low,fe_ema_5_low,fe_ema_10_low,fe_ema_20_low,fe_ema_50_low,fe_ema_100_low,fe_ma_5_high,fe_ma_10_high,fe_ma_20_high,fe_ma_50_high,fe_ma_100_high,fe_wma_5_high,fe_wma_10_high,fe_wma_20_high,fe_wma_50_high,fe_wma_100_high,fe_ema_5_high,fe_ema_10_high,fe_ema_20_high,fe_ema_50_high,fe_ema_100_high,fe_tenkan_sen,fe_kijun_sen,fe_senkou_span_a,fe_senkou_span_b,fe_chikou_span,close_denoised,open_denoised,high_denoised,low_denoised,fe_volume_binned,fe_momentum_norm,fe_momentum_norm_binned,fe_williams
2024-05-21 06:00:00,71156.0,71346.0,71078.0,71163.0,35172.0,,,,,-82.996925,-76.70269,-6.2942357,,,,,,,,,,,,,35172.0,-12861.403,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71212.0,69976.0,71045.58,71196.77,71322.99,70998.9,4.0,,,
2024-05-21 07:00:00,71163.0,71188.0,70838.0,70841.0,31981.0,,,,,39.66281,-2.5056164,42.168427,,,,,,,,,,,,,3191.0,-44294.156,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71092.0,69955.0,70956.43,71112.12,71213.52,70917.086,3.0,,,
2024-05-21 08:00:00,70843.0,71015.0,70811.0,70866.0,29313.0,,,,,67.23686,47.749557,19.487305,,,,,,,,,,,,,32504.0,-57801.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71078.5,70151.0,70872.65,70896.77,71004.12,70814.92,3.0,,,
2024-05-21 09:00:00,70866.0,71024.0,70843.0,70940.0,29205.0,,,,,15.15243,25.995243,-10.8428135,,,,,,,,,,,,,61709.0,-55703.53,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71078.5,69725.0,70895.484,70829.125,71018.734,70814.05,3.0,,,
2024-05-21 10:00:00,70940.0,71245.0,70911.0,70995.0,32901.0,,,,,40.239815,40.239815,26.858768,,,,,,,,,,,,,94610.0,-72055.52,0.0,,,,,70961.0,,,,,70945.2,,,,,70981.64,,,,,70993.6,,,,,70945.0,,,,,70973.875,,,,,70896.2,,,,,70874.266,,,,,70906.85,,,,,71163.6,,,,,71139.2,,,,,71176.13,,,,,,,,71078.5,69611.0,71051.89,70892.125,71263.0,70930.766,3.0,,,
2024-05-21 11:00:00,70996.0,71408.0,70933.0,71092.0,36758.0,,,,,236.25449,171.69414,64.56035,,,,,,,,,,,,,131368.0,-84205.01,0.0,,,,,70946.8,,,,,70988.87,,,,,71018.43,,,,,70961.6,,,,,70945.8,,,,,70981.25,,,,,70867.2,,,,,70886.53,,,,,70915.57,,,,,71176.0,,,,,71220.664,,,,,71253.42,,,,,,,,71109.5,69543.0,71109.39,71013.45,71381.94,70955.664,4.0,-0.0009977095,5.0,
2024-05-21 12:00:00,71092.0,71389.0,71015.0,71306.0,38687.0,,,,,21.178867,73.467514,-52.288647,,,,,,,,,,,,,170055.0,-62689.246,0.0,,,,,71039.8,,,,,71108.6,,,,,71114.29,,,,,70947.4,,,,,70989.266,,,,,71018.164,,,,,70902.6,,,,,70935.8,,,,,70948.71,,,,,71216.2,,,,,71291.664,,,,,71298.62,,,,,,,,71109.5,70064.0,71087.15,71253.82,71432.58,70910.04,4.0,0.0065639955,6.0,
2024-05-21 13:00:00,71308.0,71308.0,70501.0,70541.0,50222.0,,,,,-344.72003,-230.79536,-113.92466,,,,,,,,,,,,,119833.0,-107932.61,0.0,,,,,70974.8,,,,,70942.336,,,,,70923.19,,,,,71040.4,,,,,71109.47,,,,,71114.78,,,,,70840.6,,,,,70801.93,,,,,70799.48,,,,,71274.8,,,,,71322.266,,,,,71301.74,,,,,,,,70954.5,70413.0,70766.8,71125.54,71283.73,70625.83,5.0,-0.00458612,5.0,
2024-05-21 14:00:00,70543.0,70884.0,70150.0,70159.0,48387.0,,,,,-445.36002,-373.83847,-71.52155,,,,,,,,,,,,,71446.0,-155133.0,0.0,,,,,70818.6,,,,,70670.4,,,,,70668.46,,,,,70975.8,,,,,70943.664,,,,,70924.19,,,,,70702.0,,,,,70571.734,,,,,70582.984,,,,,71246.8,,,,,71192.0,,,,,71162.49,,,,,70779.0,,,70779.0,70199.0,70072.77,70591.945,70854.99,70039.84,5.0,-0.011009304,5.0,
2024-05-21 15:00:00,70159.0,70442.0,69650.0,69782.0,47407.0,,,,,-498.68,-457.06616,-41.61385,,,,,,,,,,,,,24039.0,-186737.67,0.0,,,,,70576.0,70768.5,,,,70324.87,70608.2,,,,70372.98,70646.93,,,,70819.6,70906.6,,,,70671.4,70813.38,,,,70669.125,70838.695,,,,70449.8,70673.0,,,,70221.07,70503.18,,,,70271.99,70547.37,,,,71086.2,71124.9,,,,70923.734,71056.34,,,,70922.33,71072.78,,,,70529.0,,,70529.0,69820.0,69761.86,70173.94,70492.94,69722.91,5.0,-0.01708571,4.0,
2024-05-21 16:00:00,69780.0,70218.0,69619.0,69624.0,46493.0,,,,,-365.34,-395.91537,30.575384,,,,,,,,,,,,,-22454.0,-232454.5,0.0,,,,,70282.4,70614.6,,,,70007.53,70400.11,,,,70123.31,70460.945,,,,70576.4,70769.0,,,,70324.87,70608.55,,,,70372.75,70646.21,,,,70187.0,70527.1,,,,69944.13,70311.55,,,,70054.33,70378.58,,,,70848.2,71012.1,,,,70634.336,70891.45,,,,70687.555,70917.37,,,,70513.5,,,70513.5,69553.0,69808.445,69770.1,70153.18,69651.55,4.0,-0.020649299,4.0,
2024-05-21 17:00:00,69618.0,69905.0,69516.0,69818.0,40213.0,,,,,-77.67,-183.7518,106.081795,,,,,,,,,,,,,17759.0,-210228.8,0.0,,,,,69984.8,70512.3,,,,69852.734,70255.27,,,,70021.55,70344.05,,,,70281.6,70614.5,,,,70005.4,70399.27,,,,70121.164,70459.26,,,,69887.2,70394.9,,,,69720.47,70127.71,,,,69874.88,70221.74,,,,70551.4,70883.8,,,,70319.93,70690.164,,,,70426.7,70733.3,,,,70462.0,,,70462.0,69587.0,69694.336,69614.24,69945.95,69492.445,4.0,-0.02086781,4.0,
2024-05-21 18:00:00,69818.0,69907.0,69486.0,69767.0,38611.0,,,,,-341.51968,-341.51968,23.550303,,,,,,,,,,,,,-20852.0,-197297.33,0.0,,,,,69830.0,70402.4,,,,69780.13,70119.766,,,,69936.695,70239.125,,,,69983.6,70512.0,,,,69850.87,70254.45,,,,70020.11,70342.67,,,,69684.2,70262.4,,,,69586.734,69962.45,,,,69745.26,70087.97,,,,70271.2,70773.0,,,,70105.13,70512.56,,,,70253.47,70583.06,,,,70447.0,,,70447.0,69399.0,69560.56,69817.14,69950.88,69355.25,4.0,-0.010972342,5.0,
2024-05-21 19:00:00,69782.0,69903.0,69132.0,69249.0,37423.0,,,,,-327.4175,-268.4363,-58.98119,,,,,,,,,,,,,-58275.0,-223362.38,0.0,,,5.1405973,,69648.0,70233.3,,,,69586.47,69910.055,,,,69707.46,70059.1,,,,69831.4,70403.6,,,,69783.664,70121.73,,,,69940.74,70240.73,,,,69480.6,70091.3,,,,69402.664,69756.93,,,,69540.836,69914.16,,,,70075.0,70660.9,,,,69982.4,70354.38,,,,70136.65,70459.414,,,,70270.0,,,70270.0,69454.0,69538.05,69731.4,69851.44,69268.25,4.0,-0.012970539,5.0,-94.859406
2024-05-21 20:00:00,69257.0,69725.0,69207.0,69689.0,31160.0,32.544262,18.836332,11.01883,12.475788,-140.20876,-182.95126,42.74252,,,,,,,,,,,,,-27115.0,-196533.5,0.0,35.714287,92.85714,24.47276,,69629.4,70102.7,,,,69600.13,69811.09,,,,69701.31,69991.81,,,,69651.0,70235.3,,,,69592.2,69913.26,,,,69712.83,70061.87,,,,69392.0,69920.9,,,,69311.47,69596.15,,,,69429.555,69785.586,,,,69931.6,70508.9,,,,69865.734,70184.22,,,,69999.43,70325.88,,,,70260.5,,,70270.0,69081.0,69574.05,69414.53,69689.34,69202.23,3.0,-0.0013327219,5.0,-75.527245
2024-05-21 21:00:00,69679.0,69761.0,69432.0,69697.0,21212.0,32.77065,32.286884,22.614271,14.597401,-913.03625,-1117.7218,204.68556,,,,,,,,,,,,,-5903.0,-183574.19,0.0,28.571428,85.71429,24.824253,18.14587,69644.0,69963.2,,,,69622.664,69737.33,,,,69699.875,69938.21,,,,69630.8,70103.6,,,,69601.53,69812.11,,,,69701.555,69992.26,,,,69354.6,69770.8,,,,69324.8,69507.26,,,,69430.375,69721.3,,,,69840.2,70344.2,,,,69808.87,70048.234,,,,69919.95,70223.18,,,,70220.0,,,70270.0,69125.0,69744.52,69486.484,69810.54,69367.82,2.0,0.001048489,6.0,-75.17575
2024-05-21 22:00:00,69677.0,70172.0,69677.0,70172.0,25156.0,44.64881,32.259598,32.872204,34.206062,173.69781,137.33632,36.361496,,,,,,,,,,,,,19253.0,-158418.19,0.0,21.428572,78.57143,45.6942,31.663738,69714.8,69849.8,,,,69798.664,69775.29,,,,69857.25,69980.72,,,,69642.6,69962.1,,,,69616.93,69734.55,,,,69693.37,69934.94,,,,69386.8,69637.0,,,,69432.266,69490.2,,,,69512.58,69713.24,,,,69893.6,70222.5,,,,69919.47,70016.93,,,,70003.97,70213.875,,,,70008.0,,,70270.0,69454.0,70070.47,69867.23,70189.23,69783.02,3.0,0.005070326,6.0,-54.3058
2024-05-21 23:00:00,70171.0,70337.0,70065.0,70106.0,37348.0,43.4988,44.692654,45.249767,40.147427,-1074.8317,-1112.2352,37.40363,,,,,,,,,,,,,-18095.0,-184506.86,0.0,14.285714,71.42857,42.794376,37.770943,69782.6,69806.3,,,,69929.07,69821.875,,,,69940.164,70003.49,,,,69713.2,69848.4,,,,69793.07,69772.52,,,,69852.58,69977.86,,,,69502.6,69593.4,,,,69658.336,69568.016,,,,69696.72,69777.195,,,,69979.6,70125.4,,,,70067.266,70037.74,,,,70114.98,70236.26,,,,69787.0,,,70270.0,69445.0,70189.25,70042.195,70314.53,69982.35,4.0,0.0048590307,6.0,-57.205624
2024-05-22 00:00:00,70106.0,70237.0,70009.0,70073.0,34190.0,42.903763,43.559765,43.989048,37.912888,12.188317,8.488694,3.6996236,,,,,,,,,,,,,-52285.0,-199502.48,0.0,7.142857,64.28571,41.344463,43.27768,69947.4,69797.7,,,,70025.87,69870.37,,,,69984.445,70016.13,,,,69778.0,69804.7,,,,69924.0,69819.37,,,,69937.055,70001.16,,,,69678.0,69579.3,,,,69827.13,69643.58,,,,69800.81,69819.34,,,,70046.4,70060.7,,,,70153.07,70058.04,,,,70155.66,70236.4,,,,69734.5,,,70270.0,69451.0,70094.41,70089.48,70218.2,69985.945,3.0,0.0118990885,6.0,-58.655537
2024-05-22 01:00:00,70077.0,70163.0,69967.0,70120.0,24312.0,44.077103,43.035625,43.02093,36.302666,-6.1627736,19.149572,-25.312346,71499.07,69100.93,70300.0,71605.16,69097.945,70351.55,71439.25,68844.75,70142.0,71777.45,69380.25,70578.85,-27973.0,-185857.98,0.0,0.0,57.142857,43.77492,42.63792,70033.6,69831.5,70300.0,,,70083.4,69928.96,70060.445,,,70029.63,70035.016,70241.734,,,69942.0,69796.5,70351.55,,,70023.664,69868.875,70081.78,,,69983.7,70014.945,70252.84,,,69830.0,69611.0,70142.0,,,69923.47,69714.07,69871.664,,,69856.21,69846.19,70071.625,,,70134.0,70032.8,70578.85,,,70191.93,70076.63,70312.35,,,70158.1,70223.05,70471.52,,,69734.5,,,70270.0,69407.0,70053.71,70145.586,70217.24,69997.77,3.0,0.0061846203,6.0,-56.22508
2024-05-22 02:00:00,70120.0,70330.0,69894.0,69976.0,33277.0,41.27821,44.109505,41.318813,42.262398,-561.9432,-592.6104,30.667273,71378.95,69102.35,70240.65,71500.62,69098.88,70299.75,71309.96,68855.64,70082.8,71677.4,69378.695,70528.05,-61250.0,-206617.95,0.0,0.0,50.0,38.786766,41.30205,70089.4,69866.7,70240.65,,,70064.2,69955.234,70029.59,,,70011.75,70024.29,70216.43,,,70030.2,69830.5,70299.75,,,70083.0,69927.69,70059.73,,,70029.13,70034.05,70240.195,,,69922.4,69638.5,70082.8,,,69944.8,69765.52,69848.04,,,69868.805,69854.88,70054.7,,,70247.8,70044.0,70528.05,,,70257.266,70130.67,70288.66,,,70215.4,70242.49,70458.04,,,69734.5,,,70270.0,69515.0,69990.21,70120.98,70217.78,69920.445,3.0,0.004003042,6.0,-61.213234
2024-05-22 03:00:00,69986.0,70015.0,69791.0,69914.0,34459.0,40.097603,41.4849,38.975655,35.512917,100.86213,72.36867,28.493467,71306.234,69082.37,70194.3,71380.586,69101.21,70240.9,71212.79,68848.11,70030.45,71597.58,69341.22,70469.4,-95709.0,-203233.58,0.0,0.0,42.857143,44.634705,42.398796,70037.8,69876.3,70194.3,,,70005.734,69963.836,69998.484,,,69979.17,70004.234,70187.625,,,70092.0,69867.3,70240.9,,,70068.266,69955.96,70029.84,,,70014.76,70025.31,70215.984,,,69945.2,69666.0,70030.45,,,69901.0,69793.26,69820.25,,,69842.87,69843.266,70029.59,,,70216.4,70055.0,70469.4,,,70179.664,70125.4,70239.79,,,70148.6,70201.13,70415.85,,,69734.5,,,70270.0,69412.0,69877.92,70001.97,70119.484,69713.64,3.0,-0.0036766801,5.0,-55.365295
2024-05-22 04:00:00,69914.0,69958.0,69185.0,69562.0,38123.0,34.129333,40.1041,28.67303,34.441048,15.985638,31.995884,-16.010248,71228.695,69029.5,70129.1,71307.61,69081.29,70194.45,71129.23,68769.07,69949.15,71536.55,69296.555,70416.55,-133832.0,-204170.62,0.0,0.0,35.714287,32.82443,38.74863,69929.0,69855.8,70129.1,,,69847.13,69906.69,69938.266,,,69840.11,69923.83,70128.04,,,70040.6,69876.9,70194.45,,,70008.93,69964.45,69998.71,,,69981.17,70005.07,70187.23,,,69769.2,69635.9,69949.15,,,69647.6,69705.8,69739.734,,,69623.58,69723.586,69949.16,,,70140.6,70060.1,70416.55,,,70093.53,70107.766,70191.086,,,70085.07,70156.93,70372.24,,,69761.0,,,70270.0,69541.0,69745.15,69778.016,69948.94,69375.83,4.0,-0.007759678,5.0,-67.175575
2024-05-22 05:00:00,69562.0,69882.0,69485.0,69860.0,33254.0,42.000076,34.12413,37.483204,33.01041,-183.01073,-111.34183,-71.66889,71114.53,69035.664,70075.1,71230.125,69028.375,70129.25,71002.61,68759.89,69881.25,71466.11,69252.79,70359.45,-100578.0,-174602.22,0.0,0.0,28.571428,60.414936,45.958023,69886.4,69916.9,70075.1,,,69824.13,69907.45,69912.63,,,69846.74,69912.23,70102.516,,,69931.8,69854.9,70129.25,,,69849.4,69907.2,69938.484,,,69841.445,69924.516,70127.68,,,69664.4,69671.2,69881.25,,,69552.87,69678.37,69695.53,,,69577.39,69680.2,69904.945,,,70069.6,70058.0,70359.45,,,70007.336,70075.38,70140.18,,,70017.375,70106.94,70325.555,,,69761.0,,,70270.0,69695.0,69699.92,69707.336,69886.77,69340.91,3.0,-0.0030396872,5.0,-39.585064
2024-05-22 06:00:00,69863.0,70021.0,69753.0,69816.0,32389.0,41.21697,42.077736,44.1231,38.076733,-248.64252,-154.91231,-93.73022,70970.46,69061.84,70016.15,71116.086,69034.71,70075.4,70840.82,68805.88,69823.35,71335.445,69261.055,70298.25,-132967.0,-191763.55,0.0,50.0,21.428572,56.763485,50.00095,69825.6,69929.6,70016.15,,,69800.664,69889.11,69887.96,,,69836.49,69894.73,70075.23,,,69889.0,69915.5,70075.4,,,69826.47,69908.67,69913.125,,,69848.63,69913.33,70102.47,,,69621.6,69725.8,69823.35,,,69582.4,69693.234,69683.31,,,69635.92,69693.44,69890.48,,,70041.2,70087.6,70298.25,,,69991.13,70068.66,70107.945,,,70018.586,70091.31,70296.55,,,69761.0,,,70270.0,69648.0,69758.66,69802.54,69934.266,69636.84,3.0,-0.004335425,5.0,-43.236515
2024-05-22 07:00:00,69818.0,69855.0,69551.0,69693.0,31812.0,39.026356,41.275394,40.62109,34.701443,-491.06863,-413.9189,-77.14972,70771.14,69121.26,69946.2,70971.96,69061.04,70016.5,70640.09,68868.41,69754.25,71139.65,69301.555,70220.6,-164779.0,-193856.44,0.0,42.857143,14.285714,46.556015,54.578148,69769.0,69929.2,69946.2,,,69756.47,69846.09,69857.18,,,69788.664,69858.05,70038.82,,,69828.6,69929.4,70016.5,,,69802.8,69890.945,69888.61,,,69838.42,69896.0,70075.38,,,69553.0,69737.7,69754.25,,,69558.87,69661.45,69657.375,,,69607.62,69667.54,69858.15,,,69946.2,70097.0,70220.6,,,69929.07,70026.37,70065.73,,,69964.055,70048.35,70254.5,,,69761.0,70270.0,70015.5,70270.0,69601.0,69824.87,69803.39,69970.7,69709.79,3.0,-0.0040442436,5.0,-53.443985
2024-05-22 08:00:00,69682.0,70161.0,69599.0,69976.0,28451.0,46.121643,38.86349,41.803112,44.47281,-393.12988,-393.12988,12.513686,70421.18,69338.22,69879.7,70773.086,69118.914,69946.0,70355.45,69011.445,69683.45,70905.69,69412.71,70159.2,-136328.0,-184136.53,0.0,35.714287,7.142857,70.0415,57.787,69781.4,69909.6,69879.7,,,69825.47,69854.6,69860.016,,,69851.11,69879.49,70032.84,,,69767.8,69929.9,69946.0,,,69753.93,69845.96,69856.75,,,69786.28,69857.086,70037.914,,,69514.6,69729.9,69683.45,,,69574.2,69636.234,69642.59,,,69604.74,69655.08,69833.47,,,69975.4,70095.9,70159.2,,,70000.664,70038.0,70060.055,,,70029.7,70068.83,70245.59,,,69757.5,70270.0,70013.75,70270.0,69485.0,69929.625,69762.305,70036.33,69640.43,3.0,0.0008868038,6.0,-29.958506
